,title,date,body,url,year
0,      Tayla Clement: Το κορίτσι που δεν μπορεί να χαμογελάσει και το επίπονο ταξίδι αγάπης για τον εαυτό της    ,2022-06-09," «Δεν γεννήθηκα, ούτε μεγάλωσα να είμαι δυνατή και να έχω αυτοπεποίθηση. Μάλιστα, υπήρξαν στιγμές στη ζωή μου που άκουγα καθημερινά ότι είμαι άσχημη, αηδιαστική και άχρηστη. Πίστευα πως κανείς δεν με αγαπά και πως κανένας δεν θα με αγαπήσει ποτέ γιατί δεν το άξιζα», θα πει η Tayla Clement.         											 ( () {  (' '); }); 										        Θέλω να σας συστήσω την Tayla Clement. Ένα 24χρονο κορίτσι που πάσχει από το σπάνιο σύνδρομο Moebius και μοιράζεται μέσω του προσωπικού της λογαριασμού στο Instagram, τη δική της ιστορία. Από τα δύσκολα παιδικά της χρόνια μέχρι το σήμερα που έχει καταφέρει να αγαπήσει τον εαυτό της και να τον αποδεχθεί. Η Tayla Clement είναι γνωστή ως το κορίτσι που δεν μπορεί να χαμογελάσει, εξαιτίας του συνδρόμου Moebius. Πρόκειται για μια σπάνια, νευρολογική ασθένεια που χαρακτηρίζεται από την απουσία ή την υπανάπτυξη των νεύρων που ελέγχουν τις κινήσεις του προσώπου. Ως συνέπεια αυτής της ιατρικής κατάστασης, παρατηρείται αμφίπλευρη παράλυση του προσώπου και διάφορες μυοσκελετικές δυσπλασίες.    ",https://www.ladylike.gr/women-today/tayla-clement-to-koritsi-pou-den-borei-na-xamogelasei-kai-to-epipono-taxidi-agapis-gia-ton-eafto-tis/,2022
1,      Lily James: Έκανε το αγαπημένο κούρεμα των Γαλλίδων    ,2022-06-16," Η περίοδος πριν το καλοκαίρι (και πιο συγκεκριμένα πριν φύγεις για διακοπές) είναι ιδανική, από άποψη timing, αν θέλεις να κάνεις μία αλλαγή στα μαλλιά σου- είτε αυτή αφορά το χρώμα τους, είτε το κούρεμά σου, είτε και τα δύο μαζί. Η Charlize Theron για παράδειγμα αποφάσισε να κάνει και τα δύο. Πριν λίγες μέρες την είδαμε να κάνει το ντεμπούτο της αφενός με μία νέα, μαύρη απόχρωση στα μαλλιά της που κομπόζαρε τέλεια με τα πράσινα μάτια και την ανοιχτόχρωμη επιδερμίδα της, αφ’ ετέρου, μ’ ένα κούρεμα που πραγματικά δεν περιμέναμε να δούμε να υιοθετεί: το mixie cut. Αυτή τη φορά, είναι η Lily James που δίνει το #hairinspo της ημέρας.         											 ( () {  (' '); }); 										        Η ηθοποιός που πριν από αρκετούς μήνες έκανε τη μεγάλη ανατροπή στο χρώμα των μαλλιών της, αποφασίζοντας από καστανόξανθη να γίνει μελαχρινή, υιοθετώντας μία σκούρα καστανή- μαύρη απόχρωση στο hair look της, αυτή τη φορά αποφάσισε να κάνει μία αλλαγή στο κούρεμά της. Και μιας και η ίδια βρίσκεται στη Γαλλία, τι πιο αναμενόμενο, από το να υιοθετήσει ένα από τα πιο αγαπημένα κουρέματα των Γαλλίδων; Στη φωτογραφία που ανέβασε πριν λίγες μέρες στον προσωπικό λογαριασμό της στο Instagram, η Lily James εκτός από πιο κοντό μήκος στα μαλλιά της, σε σχέση με την τελευταία φορά που την είδαμε στο κόκκινο χαλί, φαίνεται να έχει κόψει μακριά curtain bangs στο μπροστινό μέρος τους. Ως real French Girl, πόζαρε στους δρόμους του Παρισιού, αφήνοντας τη φυσική υφή των μαλλιών της να πρωταγωνιστεί, ενώ συνδύασε τη φράντζα με ένα ζευγάρι μεγάλα cat-eye γυαλιά ηλίου. Είσαι έτοιμη να δεις το νέο hair look της Lily James;         											 ( () {                              ( (""/4834629/ladylike.gr/ros_inline_b"", [[300, 600], [300, 250], [336, 280]], "" "")                                       . ( ["" ""])                                       . ( ()));                               ("" "");                           });     										    Το νέο hair look της Lily James;    ",https://www.ladylike.gr/beauty/lily-james-ekane-to-agapimeno-kourema-ton-gallidon/,2022
2,      Boyfriend Manicure: 4 celebrities που έχουν αφιερώσει το μανικιούρ τους στους αγαπημένους τους    ,2022-06-04," Αν είσαι φανατική αυτής της στήλης, ξέρεις πόσο πολύ λατρεύουμε το nail art και το μανικιούρ γενικότερα. Και δεν είναι μόνο αυτή η «ιερή» ώρα που αφιερώνεις (επιτέλους!) στον εαυτό σου αφήνοντας τους experts να σε περιποιηθούν, είναι αυτό το δημιουργικό ψάξιμο στο Pinterest και Instagram προκειμένου να βρεις/ σκεφτείς/δημιουργήσεις εκ νέου το «τέλειο» χρώμα και σχέδιο. Κι αν είσαι ερωτευμένο κορίτσι και το σχέδιο που θέλεις να κάνεις στα νύχια σου, θέλεις να το αφιερώσεις στο σύντροφό σου, τότε δεν έχεις παρά να υιοθετήσεις την τάση του boyfriend manicure.           											 ( () {  (' '); }); 										        Μαζί το πολύ πετυχημένο χάσταγκ #couplegoals, το boyfriend manicure είναι το “next big thing” που απ’ ό,τι φαίνεται λατρεύουν οι διάσημες κυρίες του Hollywood. Πριν μερικές εβδομάδες η Kim Kardashian πόσταρε το μανικιούρ που έκανε στον προσωπικό λογαριασμό της στο Instagram, σχηματίζοντας με μερικά στρας το γράμμα P aka το αρχικό γράμμα του νέου της αγαπημενου Pete Davidson. Αρκετό καιρό πριν και πιο συγκεκριμένα στο Met Gala, η Kourtney Kardashian και ο μέλλων – τότε- σύζυγός τηςTravis Barker, αποφάσισαν να κάνουν ένα matchy matchy μανικιούρ με τα αρχικά τους στα νύχια τους. Πριν μερικά χρόνια, η Blake Lively εμφανίστηκε στο κόκκινο χαλί της πρεμιέρας της ταινίας Deadpool 2 που πρωταγωνιστούσε ο σύζυγός της, με ένα μανικιούρ εμπνευσμένο από την ίδια την ταινία- αν δεν είναι αυτό συζυγική αλληλεγγύη, τότε τι; Και ο κατάλογος συνεχίζεται με τη Jennifer Lopez να σχηματίζει στο nude και κατά τ’ άλλα απλό μανικιούρ της το αρχικό γράμμα τόσο του ονόματος της όσο και του συντρόφου της Ben Affleck. “J” για την Jennifer και “B” για τον Ben! Ψέματα δεν θα πούμε, την προσοχή βέβαια κέντρισε και το πανέμορφο πράσινο διαμαντένιο δαχτυλίδι αρραβώνων της.         											 ( () {                              ( (""/4834629/ladylike.gr/ros_inline_b"", [[300, 600], [300, 250], [336, 280]], "" "")                                       . ( ["" ""])                                       . ( ()));                               ("" "");                           });     										    «Jen and Ben forever» έγραψε ο celebrity nail artist Tom Bachik, ο οποίος δημιούργησε το συγκεκριμένο μανικιούρ αποκαλύπτοντας περισσότερες λεπτομέρειες για τα βερνίκια που χρησιμοποίησε. Ποια/ποιος θα είναι ο επόμενος; Μέχρι τότε δες παρακάτω 4 celebrities που έχουν αφιερώσει το μανικιούρ τους στους αγαπημένους τους! Celebrities που έχουν αφιερώσει το μανικιούρ τους στους αγαπημένους τους: Jennifer Lopez & Ben Affleck    ",https://www.ladylike.gr/beauty/boyfriend-manicure-4-celebrities-pou-exoun-afierosei-to-manikiour-tous-stous-agapimenous-tous/,2022
3,      Βασίλης Χαραλαμπόπουλος: Φωτογραφίζει τη σύζυγό του και γεμίζει αγάπη το Instagram    ,2022-06-14," Το 2014 ο Βασίλης Χαραλαμπόπουλος έκανε την «έκπληξη» στην ελληνική showbiz και παντρεύτηκε τη σύντροφό του, Λίνα Πρίντζου με καλεσμένους μόνο 25 άτομα και τα media να το μαθαίνουν αφού είχε συμβεί. Ο ρομαντισμός ήταν πάντα στη φύση του, όπως είχε πει κάποτε σε συνέντευξή του κι ήταν κινήσεις σαν το τετραήμερο στη Βενετία που οργάνωσε για τον γάμο του μόνος του που το αποδεικνύουν.         											 ( () {  (' '); }); 										        Ο ρομαντισμός όμως, βρίσκεται και στα πιο απλά, στα καθημερινά. Σε αυτά που τον ενώνουν με τη σύζυγό του στην ζωή που κυλά μακριά από τα μεγάλα, τα μοναδικά και γι’ αυτό σημαντικά. Σε στιγμές όπως αυτή που πίνουν τον καφέ τους έχοντας παρέα τα σκυλιά τους. Σε στιγμιότυπα, όπως αυτό που πρόσφατα ανάρτησε στο Instagram ο Βασίλης Χαραλαμπόπουλος. «Η αγάπη είναι γένους θηλυκού», έγραψε στη λεζάντα της φωτογραφίας που δημοσίευσε ο Βασίλης Χαραλαμπόπουλος. Σε αυτή, ποζάρει χαμογελαστή η Λίνα Πρίντζου σε καφέ του Πηλίου και γύρω της βρίσκονται τα τρία τους σκυλιά. Το χωριό Μηλιές του Πηλίου (το ζευγάρι διατηρεί εξοχική κατοικία εκεί) γίνεται το πιο ωραίο φόντο για αυτή την αγάπη. Η αγάπη είναι το συναίσθημα που αποπνέει το βλέμμα της Λίνας Πρίντζου καθώς κοιτάζει τον σύζυγό της, που βρίσκεται πίσω από τον φακό. Η αγάπη είναι το συναίσθημα που αποτυπώνεται μέσα από το δικό του βλέμμα στη φωτογραφία της.    ",https://www.ladylike.gr/celebrities/vasilis-xaralampopoulos-fotografizei-ti-sizigo-tou-kai-gemizei-agapi-to-instagram/,2022
4,      IPANEMA: η πιο αγαπημένη συλλογή του καλοκαιριού    ,2022-06-03," Αυτό το καλοκαίρι χαλάρωσε και περπάτησε με το μοναδικό στυλ Ipanema.         											 ( () {  (' '); }); 										        Οι αυθεντικές σαγιονάρες απευθείας από τη Βραζιλία, είναι εδώ για να ξεσηκώσουν τα βήματά σου!  Φόρεσε αυτό που σου ταιριάζει. Ανακάλυψε όλες τις νέες τάσεις σε flip flops και πέδιλα, με εντυπωσιακά prints, μεταλλικές αποχρώσεις, παστέλ ή έντονους τόνους.      Η ΙΡΑΝΕΜΑ, έρχεται από τη Βραζιλία, τη χώρα του κεφιού, γι’ αυτό και αγαπήθηκε από όλους μας.  Μονόχρωμα σχέδια , σε έντονα χρώματα όπως το κοραλλί, το κίτρινο, το πετρόλ, αλλά και πιο ήσυχα όπως της πούδρας, του χαλκού, του μπεζ και φυσικά του πάντα διαχρονικού μαύρου.   Η ΙΡΑΝΕΜΑ αποτελεί την μεγάλη έκπληξη κάθε χρόνο, και κάθε φορά ανυπομονούμε να δούμε τις καινούργιες προτάσεις της. Και είναι η μία καλύτερη από την άλλη.   Ένας ακόμη όμως λόγος για τον οποίο επιλέγουμε τις ΙΡΑΝΕΜΑ είναι η ευαισθησία και ο σεβασμός προς το περιβάλλον.  Η collection αποτελείται από σχέδια από 100% ανακυκλώσιμα υλικά, φιλικά προς το περιβάλλον, με διεθνείς πιστοποιήσεις.  H IPANEMA πρωτοπορεί και στον ευαίσθητο τομέα, της στήριξης της βιωσιμότητας και στο χώρο της μόδας.   Μην ξεχάσετε να ακολουθήσετε την ΙΡΑΝΕΜΑ στο facebook και στο Instagram (ΙpanemaGreece) και φυσικά στο κανάλι τους στο Youtube. Για περισσότερες πληροφορίες  Θεσ/νίκη 2310 682222 Αθήνα 210 9024435 Κύπρος  357-22-346151  www.adamsshoes.gr            ",https://www.ladylike.gr/style/ipanema-i-pio-agapimeni-sillogi-tou-kalokairiou-2/,2022
5,      Αυτό είναι το νέο αγαπημένο προϊόν των Γαλλίδων που αφαιρεί ακόμη και το πιο επίμονο αδιάβροχο μακιγιάζ    ,2022-06-01," Πριν λίγο καιρό από αυτή εδώ τη στήλη μιλούσαμε για τους λόγους που το micellar water θεωρείται το «θαυματουργό» νερό καθαρισμού στη ρουτίνα ομορφιάς των Γαλλίδων (και όχι μόνο, πλέον). Γιατί και ποια δεν θα ήθελε να μάθει τα μυστικά της λαμπερής και καθαρής επιδερμίδα τους; (Ρητορικό το ερώτημα).             											 ( () {  (' '); }); 										        Αυτή τη φορά, βέβαια, κάνουμε focus σε μία ολοκαίνουργια άφιξη στη French Girl Beauty Routine και πιο συγκεκριμένα σ’ ένα προϊόν που αφαιρεί ακόμη και το πιο επίμονο αδιάβροχο μακιγιάζ ΧΩΡΙΣ να ερεθίζει καθόλου την επιδερμίδα των ματιών/ χειλιών. Ποιο είναι αυτό και γιατί να επενδύσει κανείς σ’ ένα ξεχωριστό προϊόν γι αυτή την περιοχή του προσώπου του; Πώς αφαιρούν οι Γαλλίδες το μακιγιάζ τους χωρίς να ερεθίσουν το δέρμα τους; Έχουμε όλες τις απαντήσεις παρακάτω… Γιατί η περιοχή των ματιών και των χειλιών είναι τόσο ευαίσθητες; Τι λένε οι ειδικοί… Αρχικά, το δέρμα σ’ αυτήν την περιοχή είναι εξαιρετικά λεπτό και δεν περιέχει σμηγματογόνους αδένες. Οι δύο αυτοί παράγοντες συνδυαστικά καθιστούν πιο αδύναμο και λιγότερο λειτουργικό τον δερματικό φραγμό. Κατόπιν, η περιοχή αυτή είναι υποκείμενη σε διάφορους στρεσόγονους παράγοντες. Για παράδειγμα, τα μάτια μας ανοιγοκλείνουν περίπου 10,000 φορές τη μέρα. Επίσης, τείνουμε να ακουμπάμε και να τρίβουμε τα μάτια και τα βλέφαρά μας πολλές φορές μέσα στη μέρα. Φυσικά, το μακιγιάζ και ειδικά αν δεν αφαιρεθεί σωστά, μπορεί να προκαλέσει μεγαλύτερη ευαισθησία» αναφέρει χαρακτηριστικά η Michèle Sayag Allergist and Director of Scientific Research για τη Bioderma. Κάτι αντίστοιχο συμβαίνει και με τα χείλη μας. Το κεράτινο στρώμα, ο δερματικός φραγμός της περιοχής, είναι ιδιαίτερα αποδυναμωμένος και επιδεινώνεται από το σάλιο, τα δαγκώματα και φυσικά από όλες τις εκφράσεις του προσώπου.         											 ( () {                              ( (""/4834629/ladylike.gr/ros_inline_b"", [[300, 600], [300, 250], [336, 280]], "" "")                                       . ( ["" ""])                                       . ( ()));                               ("" "");                           });     										    Πώς αφαιρούν οι Γαλλίδες το μακιγιάζ τους χωρίς να ερεθίσουν το δέρμα τους; Οι Γαλλίδες ξέρουν πως το «μυστικό» στο ντεμακιγιάζ τους κρύβεται στην επιλογή των κατάλληλων προϊόντων για τη φροντίδα της επιδερμίδας τους, που θα απομακρύνουν αποτελεσματικά το μακιγιάζ των ματιών/ χελιών τους (ειδικά της αδιάβροχης μάσκαρας, του eyeliner του ματ κραγιόν κλπ), με μία μόλις κίνηση, χωρίς να την ερεθίσουν.    ",https://www.ladylike.gr/beauty/afto-einai-to-neo-agapimeno-proion-ton-gallidon-pou-afairei-akomi-kai-to-pio-epimono-adiavroxo-makigiaz/,2022
6,      My Policeman: Ο Harry Styles πρωταγωνιστεί σε μια queer ιστορία αγάπης    ,2022-06-16," Από τότε που ανακοινώθηκε ότι ο Harry Styles θα πρωταγωνιστήσει στο ρομαντικό δράμα My Policeman, οι fans περίμεναν με υπομονή για μια πρώτη γεύση. Ο καιρός λοιπόν έφτασε, καθώς ένα teaser trailer, μόλις κυκλοφόρησε.         											 ( () {  (' '); }); 										        O Harry Styles πρωταγωνιστεί σε μια queer ιστορία αγάπης           Στο νέο trailer της ταινίας, βλέπουμε τον Tom και τον Patrick να ανταλλάσσουν ματιές χαζεύοντας έναν πίνακα του J. M. W.Turner, τον Harry Styles να κάνει βόλτα με σορτσάκι στην παραλία (χρειάζεται να πούμε περισσότερα;) και τις αναπόφευκτες συνέπειες της υπόθεσης. Ο Ron Nyswaner υπογράφει τη διασκευή του σεναρίου. Παραγωγοί ήταν οι Greg Berlanti, Sarah Schechter, Robbie Rogers, Cora Palfrey και Philip Herd. Ενώ εκτελεστικοί παραγωγοί ήταν οι Grandage, Michael Riley McGrath και Caroline Levy.  Η έμπνευση πίσω από τον χαρακτήρα του Harry Styles Το My Policeman περιστρέφεται γύρω από ένα ερωτικό τρίγωνο με φόντο τη Βρετανία της δεκαετίας του 1950, όπου η ομοφυλοφιλία ήταν ακόμα παράνομη. Η ταινία αφηγείται μια ιστορία απαγορευμένης αγάπης και μεταβαλλόμενων κοινωνικών συμβάσεων που ακολουθεί τρεις νέους, καθώς ξεκινούν ένα συναισθηματικό ταξίδι: Tον αστυνομικό Tom Burgess (Harry Styles), τη δασκάλα Marion (Emma Corrin) και τον επιμελητή μουσείων Patrick (David Dawson). Κάνοντας flashing forward στη δεκαετία του 1990, ο Tom (Linus Roache), η Marion (Gina McKee) και ο Patrick (Rupert Everett) εξακολουθούν να βασανίζονται από τα συναισθήματά τους. Ωστόσο, τώρα έχουν μια τελευταία ευκαιρία να αποκαταστήσουν τη ζημιά του παρελθόντος.    ",https://www.ladylike.gr/life/my-policeman-o-harry-styles-protagonistei-se-mia-queer-istoria-agapis/,2022
7,      6 casual καλοκαιρινά outfits από τις αγαπημένες μας Γαλλίδες    ,2022-06-05," Φλοράλ φορέματα, καμπαρντίνες, φλατ, tweed σακάκια, λευκά πουκάμισα. Μερικά από τα all-time classics που φοράνε οι Γαλλίδες, λίγο-πολύ, όλο τον χρόνο. Τώρα όμως που καλοκαιριάζει, οι εμφανίσεις τους περιλαμβάνουν κάτι ακόμα: effortless διάθεση. Αν και αυτές οι δυο λέξεις χαρακτηρίζουν το στιλ τους κάθε σεζόν, το καλοκαίρι υπάρχει μια έξτρα αβίαστη διάθεση που εκπέμπουν οι εμφανίσεις τους. Το καλοκαίρι, οι ρυθμοί χαλαρώνουν, τα layers μειώνονται αισθητά και το vibe είναι ένα: εύκολα outfits.         											 ( () {  (' '); }); 										        Αν κάτι αξίζει να κρατήσουμε από το στιλ των Γαλλίδων, ειδικά τους καλοκαιρινούς μήνες του χρόνου, είναι αυτό. Τα outfits τους απλοποιούνται και βασίζονται περισσότερο στα καλοκαιρινά musts της γκαρνταρόμπας. Αυτό αφορά και το styling των συνόλων τους, τα οποία μπορεί να περιλαμβάνουν αξεσουάρ, όπως μια ζώνη ή ένα κολιέ, αλλά μέχρι εκεί. Δεν υπάρχει λόγος για «σούσουρο» και περίπλοκα styling. Το καλοκαίρι καλεί για χαλαρότητα και ευκολία στο ντύσιμο και αυτό εκπέμπουν και τα outfits των αγαπημένων μας Γαλλίδων. Τα outfits των Γαλλίδων που θα σε βάλουν σε mood καλοκαιριού Απόδειξη, τα παρακάτω outfits. Για να γιορτάσουμε το πρώτο σαββατοκύριακο του καλοκαιριού, έκανα το εξής: Μπήκα στα accounts των αγαπημένων μου Γαλλίδων influencers στο Instagram και βρήκα 6 casual καλοκαιρινά outfits που θα εμπνεύσουν τα δικά μας. Tank top + Μεταξωτή φούστα + Mules    ",https://www.ladylike.gr/style/6-casual-kalokairina-outfits-apo-tis-agapimenes-mas-gallides/,2022
8,"      H Μαρία Ναυπλιώτου γιόρτασε τα γενέθλιά της χωρίς μακιγιάζ. Μοναδικό «φίλτρο», η αγάπη    ",2022-06-21," Τι χρειάζεται για μία καλή φωτογραφία γενεθλίων; Μπορεί να νομίζεις ότι μία τούρτα γενεθλίων είναι το απαραίτητο «συστατικό» ή ένα λαμπερό birthday look ή το διάπλατο χαμόγελο του εορτάζοντα. Η Μαρία Ναυπλιώτου καταργεί μία μία όλες αυτές τις υποθετικές συμβάσεις και αποδεικνύει ότι το μόνο που χρειάζεται για την τέλεια, γενέθλια φωτογραφία είναι η αγάπη και η ευγνωμοσύνη. Εντάξει και η χωρίς προηγούμενο φυσική ομορφιά της ηθοποιού μπορεί να παίζει το ρόλο της.         											 ( () {  (' '); }); 										        Η Μαρία Ναυπλιώτου μοιράστηκε μία φωτογραφία της χωρίς μακιγιάζ, χωρίς κάποιο πολυτελές look, με τη δωρική της ομορφιά σε πρώτο πλάνο και το βλέμμα της αγάπης στα μάτια της. Κι αυτό γιατί πόζαρε στον φακό που κρατούσε η κόρη μίας από τις καλύτερες της φίλες. Η Μαρία Ναυπλιώτου άφησε την κόρη της Ζέτας Δούκα και του Μιχάλη Χατζηαντωνά, Θάλεια, να τραβήξει το πορτρέτο της για τα γενέθλιά της. Το αποτέλεσμα είναι που αποδεικνύει ότι τα μόνο απαραίτητα φίλτρα, είναι το καλοκαίρι και η αγάπη. «Αυτή τη φωτογραφία την τράβηξε η Θάλεια. Το αστέρι μου. Ετών 6. Γι’ αυτό και είναι η πιο αγαπημένη μου από τα χθεσινά μου γενέθλια», έγραψε αρχικά η Μαρία Ναυπλιώτου και πρόσθεσε με ευγνωμοσύνη: «Σας ευχαριστώ για τις ευχές. Η αγάπη σας και η θετική σας ενέργεια με συντρόφευσε όλη την ημέρα».    ",https://www.ladylike.gr/celebrities/h-maria-nafpliotou-giortase-ta-genethlia-tis-xoris-makigiaz-monadiko-filtro-i-agapi/,2022
9,      Γιορτή του Πατέρα: Η πιο ξεχωριστή κάρτα αγάπης από τη Μέριμνα    ,2022-06-14," Γιορτή του πατέρα ή ημέρα του πατέρα ονομάζεται η ετήσια κινητή εορτή προς τιμήν του πατέρα, των πατρικών δεσμών και γενικά της επιρροής τους στην κοινωνία. Στην Ελλάδα γιορτάζεται κάθε χρόνο την τρίτη Κυριακή του Ιουνίου, ενώ σε άλλες χώρες, η ημερομηνία διαφέρει. Θεωρείται συμπληρωματική εορτή μαζί με τη Γιορτή της Μητέρας.         											 ( () {  (' '); }); 										        Με αφορμή τη Γιορτή του Πατέρα την Κυριακή 19 Ιουνίου η Μέριμνα, μάς προσκαλεί να γιορτάσουμε με τη συμμετοχή μας στην εκστρατεία #karta_agapis. Η Μέριμνα είναι μία οργάνωση που παρέχει ψυχολογική στήριξη σε παιδιά που θρηνούν την απώλεια οικείου προσώπου ή ιατρονοσηλευτική και ψυχοκοινωνική φροντίδα σε όσα πάσχουν από μία απειλητική για τη ζωή ασθένεια, στηρίζοντας παράλληλα και τα μέλη των οικογενειών τους. Οι εξειδικευμένοι ψυχολόγοι της Μέριμνας, παρέχουν δωρεάν συμβουλευτική στήριξη και διευκολύνουν την προσαρμογή του παιδιού και της οικογένειας στην απώλεια του αγαπημένου τους προσώπου. Μέσω της δράσης e-κάρτα αγάπης, θα χρηματοδοτηθεί η ψυχολογική στήριξη παιδιών και εφήβων που πενθούν την απώλεια του πατέρα τους. Κάθε πατέρας ακόμα και αν δεν είναι κοντά μας, Ζει για Πάντα στην Καρδιά μας.  Πώς μπορείς θα στείλεις κι εσύ την πιο ξεχωριστή e-κάρτα αγάπης για τη Γιορτή του Πατέρα; Από τις 13 έως τις 20 Ιουνίου, όποιος θέλει να στηρίξει τη δράση μπορεί να μπει στο merimna.org.gr/karta_agapis. Να διαλέξει την κάρτα της προτίμησής του και να ορίσει το ποσό της δωρεάς του. Στη συνέχεια μπορεί να συμπληρώσει τα στοιχεία του παραλήπτη της κάρτας και να γράψει την ευχή του για τον πατέρα της καρδιάς του. Mε την ολοκλήρωση της δωρεάς του, η e-κάρτα αγάπης θα αποσταλεί στο email που έχει ζητήσει. Ο ίδιος θα λάβει ευχαριστήριο email, όπως και απόδειξη της δωρεάς του. Στείλε και εσύ την ευχή σου για τη Γιορτή του Πατέρα με την e-κάρτα αγάπης της Μέριμνας και βοήθησε ένα παιδί που έχει χάσει τον πατέρα του να λάβει τη στήριξη που χρειάζεται.  ΣΧΕΤΙΚΟ ΘΕΜΑ          					LIFE				      					Γιορτή του Πατέρα: 10 ταινίες με μπαμπάδες που μας κάνουν να κλαίμε με μαύρο δάκρυ  				      ",https://www.ladylike.gr/life/giorti-tou-patera-i-pio-xexoristi-karta-agapis-apo-tin-merimna/,2022
